gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rtn1,Astro,3.77415976750795e-14,-0.8761940517337314,0.387,0.575,7.925735511766695e-10
Serf1,Astro,4.1698624158889117e-14,-0.5595659805285547,0.176,0.373,8.756711073366715e-10
Tsc22d3,Astro,4.35215890764653e-14,0.5127644444517361,0.824,0.654,9.139533706057713e-10
Syap1,Astro,4.383708383418798e-14,-0.290285684074267,0.026,0.141,9.205787605179476e-10
Rprml,Astro,4.6806964694969307e-14,-0.5531182594332353,0.036,0.156,9.829462585943555e-10
Thbs4,Astro,4.912337387937364e-14,-0.5510094246297849,0.001,0.074,1.0315908514668464e-9
Anks1b,Astro,5.28241773175265e-14,-0.5177069685995654,0.06,0.198,1.1093077236680565e-9
Ndufa4,Astro,6.399531021171502e-14,-0.4120969648912891,0.956,0.97,1.3439015144460155e-9
Ubxn4,Astro,6.655879159160334e-14,-0.5688124454744136,0.229,0.43,1.3977346234236702e-9
Prkcdbp,Astro,6.823396438151918e-14,-0.5756107077824494,0.154,0.336,1.4329132520119028e-9
Chrdl1,Astro,8.040798545818584e-14,0.6554094105437229,0.349,0.141,1.6885676946219026e-9
Ube2d2,Astro,8.125309834175977e-14,-0.5912732515015305,0.166,0.351,1.706315065176955e-9
Clic4,Astro,8.917276294808254e-14,-0.5344982012856672,0.044,0.17,1.8726280219097332e-9
Cnn3,Astro,9.053707780785654e-14,-0.705491525731591,0.489,0.64,1.9012786339649875e-9
Npdc1,Astro,1.0364873106087084e-13,-0.6652072865758691,0.198,0.37,2.1766233522782875e-9
Ephx2,Astro,1.1717231320342872e-13,0.6073838035466462,0.439,0.212,2.460618577272003e-9
Dbi,Astro,1.189676632628396e-13,-0.6606731479731707,0.997,0.998,2.498320928519631e-9
Kcnk1,Astro,1.3454651417762288e-13,-0.6939154788725241,0.605,0.736,2.8254767977300806e-9
Sdha,Astro,1.366533963958576e-13,0.4766992078477177,0.753,0.568,2.8697213243130094e-9
D0H4S114,Astro,1.6755196987833853e-13,-0.34839038906023856,0.019,0.119,3.5185913674451092e-9
Hist3h2ba,Astro,1.761395057689962e-13,-0.4291662420073084,0.061,0.2,3.69892962114892e-9
